[2025-08-07 02:32:31,373 - network_log - INFO]	RES: 200 https://books.toscrape.com/media/cache/66/88/66883b91f6804b2323c8369331cb7dd1.jpg
[2025-08-07 02:32:31,388 - network_log - INFO]	RES: 200 https://books.toscrape.com/media/cache/be/f4/bef44da28c98f905a3ebec0b87be8530.jpg
[2025-08-07 02:32:31,401 - network_log - INFO]	RES: 200 https://books.toscrape.com/media/cache/58/46/5846057e28022268153beff6d352b06c.jpg
[2025-08-07 02:32:31,412 - network_log - INFO]	RES: 200 https://books.toscrape.com/media/cache/5b/88/5b88c52633f53cacf162c15f4f823153.jpg
[2025-08-07 02:32:31,415 - network_log - INFO]	RES: 200 https://books.toscrape.com/media/cache/10/48/1048f63d3b5061cd2f424d20b3f9b666.jpg
[2025-08-07 02:32:31,469 - network_log - INFO]	RES: 200 https://books.toscrape.com/media/cache/94/b1/94b1b8b244bce9677c2f29ccc890d4d2.jpg
[2025-08-07 02:32:31,484 - network_log - INFO]	RES: 200 https://books.toscrape.com/static/oscar/js/oscar/ui.js
[2025-08-07 02:32:31,503 - network_log - INFO]	RES: 200 https://books.toscrape.com/static/oscar/js/bootstrap-datetimepicker/bootstrap-datetimepicker.js
[2025-08-07 02:32:31,516 - network_log - INFO]	RES: 200 https://books.toscrape.com/static/oscar/js/bootstrap3/bootstrap.min.js
[2025-08-07 02:32:31,530 - network_log - INFO]	RES: 200 https://books.toscrape.com/static/oscar/js/bootstrap-datetimepicker/locales/bootstrap-datetimepicker.all.js
[2025-08-07 02:32:31,546 - network_log - INFO]	RES: 200 https://books.toscrape.com/media/cache/81/c4/81c4a973364e17d01f217e1188253d5e.jpg
[2025-08-07 02:32:31,567 - network_log - INFO]	RES: 200 https://books.toscrape.com/media/cache/54/60/54607fe8945897cdcced0044103b10b6.jpg
[2025-08-07 02:32:31,577 - network_log - INFO]	RES: 200 https://books.toscrape.com/media/cache/55/33/553310a7162dfbc2c6d19a84da0df9e1.jpg
[2025-08-07 02:32:31,589 - network_log - INFO]	RES: 200 https://books.toscrape.com/media/cache/0b/bc/0bbcd0a6f4bcd81ccb1049a52736406e.jpg
[2025-08-07 02:32:31,595 - network_log - INFO]	RES: 200 https://books.toscrape.com/media/cache/27/a5/27a53d0bb95bdd88288eaf66c9230d7e.jpg
[2025-08-07 02:32:31,602 - network_log - INFO]	RES: 200 https://books.toscrape.com/media/cache/09/a3/09a3aef48557576e1a85ba7efea8ecb7.jpg
[2025-08-07 02:32:31,859 - network_log - INFO]	RES: 200 https://books.toscrape.com/static/oscar/fonts/fontawesome-webfont.woff%3Fv=3.2.1
[2025-08-07 02:32:32,014 - network_log - INFO]	RES: 200 https://books.toscrape.com/static/oscar/js/jquery/jquery-1.9.1.min.js
[2025-08-07 02:32:32,325 - network_log - DEBUG]	At: travel_link
[2025-08-07 02:32:32,886 - network_log - INFO]	REQ: GET https://books.toscrape.com/catalogue/category/books/travel_2/index.html
[2025-08-07 02:32:33,071 - network_log - INFO]	RES: 200 https://books.toscrape.com/catalogue/category/books/travel_2/index.html
[2025-08-07 02:32:33,179 - network_log - INFO]	REQ: GET https://books.toscrape.com/media/cache/57/77/57770cac1628f4407636635f4b85e88c.jpg
[2025-08-07 02:32:33,184 - network_log - INFO]	REQ: GET https://books.toscrape.com/media/cache/9a/7e/9a7e63f12829df4b43b31d110bf3dc2e.jpg
[2025-08-07 02:32:33,186 - network_log - INFO]	REQ: GET https://books.toscrape.com/media/cache/d5/bf/d5bf0090470b0b8ea46d9c166f7895aa.jpg
[2025-08-07 02:32:33,191 - network_log - INFO]	REQ: GET https://books.toscrape.com/media/cache/98/c2/98c2e95c5fd1a4e7cd5f2b63c52826cb.jpg
[2025-08-07 02:32:33,193 - network_log - INFO]	REQ: GET https://books.toscrape.com/media/cache/4e/15/4e15150388702ebca2c5a523ac270539.jpg
[2025-08-07 02:32:33,204 - network_log - INFO]	REQ: GET https://books.toscrape.com/media/cache/76/de/76de41867f323d7f1f4fbe2fdfc1b2ba.jpg
[2025-08-07 02:32:33,210 - network_log - INFO]	REQ: GET https://books.toscrape.com/media/cache/db/46/db46159b05faa5d95262112bf9c29ddd.jpg
[2025-08-07 02:32:33,213 - network_log - INFO]	REQ: GET https://books.toscrape.com/media/cache/e0/4f/e04f8eda2a2fa947aec17640202d9ab0.jpg
[2025-08-07 02:32:33,221 - network_log - INFO]	REQ: GET https://books.toscrape.com/media/cache/06/81/0681530a7bc301caf5c3257e1b0f0750.jpg
[2025-08-07 02:32:33,227 - network_log - INFO]	REQ: GET https://books.toscrape.com/media/cache/d7/0f/d70f7edd92705c45a82118c3ff6c299d.jpg
[2025-08-07 02:32:33,231 - network_log - INFO]	REQ: GET https://books.toscrape.com/static/oscar/js/bootstrap3/bootstrap.min.js
[2025-08-07 02:32:33,237 - network_log - INFO]	REQ: GET https://books.toscrape.com/static/oscar/js/oscar/ui.js
[2025-08-07 02:32:33,245 - network_log - INFO]	REQ: GET https://books.toscrape.com/static/oscar/js/bootstrap-datetimepicker/bootstrap-datetimepicker.js
[2025-08-07 02:32:33,251 - network_log - INFO]	REQ: GET https://books.toscrape.com/static/oscar/js/bootstrap-datetimepicker/locales/bootstrap-datetimepicker.all.js
[2025-08-07 02:32:33,254 - network_log - INFO]	REQ: GET https://books.toscrape.com/static/oscar/js/jquery/jquery-1.9.1.min.js
[2025-08-07 02:32:33,294 - network_log - INFO]	RES: 200 https://books.toscrape.com/static/oscar/js/bootstrap3/bootstrap.min.js
[2025-08-07 02:32:33,309 - network_log - INFO]	RES: 200 https://books.toscrape.com/static/oscar/js/oscar/ui.js
[2025-08-07 02:32:33,317 - network_log - INFO]	RES: 200 https://books.toscrape.com/static/oscar/js/bootstrap-datetimepicker/bootstrap-datetimepicker.js
[2025-08-07 02:32:33,326 - network_log - INFO]	RES: 200 https://books.toscrape.com/static/oscar/js/bootstrap-datetimepicker/locales/bootstrap-datetimepicker.all.js
[2025-08-07 02:32:33,331 - network_log - INFO]	RES: 200 https://books.toscrape.com/static/oscar/js/jquery/jquery-1.9.1.min.js
[2025-08-07 02:32:33,432 - network_log - DEBUG]	At: book01
[2025-08-07 02:32:33,697 - network_log - INFO]	REQ: GET https://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html
[2025-08-07 02:32:34,106 - network_log - INFO]	RES: 200 https://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html
[2025-08-07 02:32:34,185 - network_log - INFO]	REQ: GET https://books.toscrape.com/media/cache/6d/41/6d418a73cc7d4ecfd75ca11d854041db.jpg
[2025-08-07 02:32:34,191 - network_log - INFO]	REQ: GET https://books.toscrape.com/static/oscar/js/bootstrap3/bootstrap.min.js
[2025-08-07 02:32:34,200 - network_log - INFO]	REQ: GET https://books.toscrape.com/static/oscar/js/oscar/ui.js
[2025-08-07 02:32:34,208 - network_log - INFO]	REQ: GET https://books.toscrape.com/static/oscar/js/bootstrap-datetimepicker/bootstrap-datetimepicker.js
[2025-08-07 02:32:34,212 - network_log - INFO]	REQ: GET https://books.toscrape.com/static/oscar/js/bootstrap-datetimepicker/locales/bootstrap-datetimepicker.all.js
[2025-08-07 02:32:34,215 - network_log - INFO]	REQ: GET https://books.toscrape.com/static/oscar/js/jquery/jquery-1.9.1.min.js
[2025-08-07 02:32:34,219 - network_log - INFO]	RES: 200 https://books.toscrape.com/static/oscar/js/bootstrap3/bootstrap.min.js
[2025-08-07 02:32:34,225 - network_log - INFO]	RES: 200 https://books.toscrape.com/static/oscar/js/oscar/ui.js
[2025-08-07 02:32:34,232 - network_log - INFO]	RES: 200 https://books.toscrape.com/static/oscar/js/bootstrap-datetimepicker/bootstrap-datetimepicker.js
[2025-08-07 02:32:34,236 - network_log - INFO]	RES: 200 https://books.toscrape.com/static/oscar/js/bootstrap-datetimepicker/locales/bootstrap-datetimepicker.all.js
[2025-08-07 02:32:34,238 - network_log - INFO]	RES: 200 https://books.toscrape.com/static/oscar/js/jquery/jquery-1.9.1.min.js
[2025-08-07 02:32:34,389 - network_log - INFO]	RES: 200 https://books.toscrape.com/media/cache/6d/41/6d418a73cc7d4ecfd75ca11d854041db.jpg
[2025-08-07 02:32:34,666 - network_log - DEBUG]	At: travel_link
